cc,bits,roots,pairs,min_gap_log2,p10_gap_log2,median_gap_log2,p90_gap_log2,max_gap_log2,expected_gap_log2,min_deficit,min_gap_hex,min_gap_grid
10,67,5,4,55,55,62,65,65,64.7,9.7,0xc78d5cecabcdf6,1378210050610
10,68,18,17,51,53,56,64,66,63.8,12.8,0xac6e27ce5380c,74430764996
10,69,86,85,48,52,55,58,67,62.6,14.6,0x1c0b1cce672fc,12105136942.95
10,74,13,12,53,55,56,58,71,70.3,17.3,0x2d2bafc36db73c,311971729849.05
10,79,2,1,77,77,77,77,77,78.0,1.0,0x22a375897c5b045066c6,4013636342507353634
10,81,17,16,60,64,74,76,76,76.9,16.9,0x103b5150126c57a6,28698759233986
10,82,75,74,58,65,73,75,78,75.8,17.8,0x4314601f3c44936,7412578191858
10,83,261,260,60,64,72,75,77,75.0,15.0,0x17788bba9921c9f0,41498105597520
10,84,980,979,58,64,71,74,77,74.1,16.1,0x540a44e63c60d54,9286787517788
10,85,4147,4146,49,63,70,73,76,73.0,24.0,0x2f3304fe33490,20373911856
10,86,16752,16751,47,62,69,72,75,72.0,25.0,0xc4d9a08aae5a,5310734398
10,87,44390,44389,46,60,64,72,75,71.6,25.6,0x76bbc7229cec,3203260260
10,88,141472,141470,44,59,62,71,74,70.9,26.9,0x1b70b65b128c,740299588
10,89,139366,139365,41,63,70,72,74,71.9,30.9,0x2ff46d9d2ec,80859492
10,90,273384,273383,40,60,70,72,74,71.9,31.9,0x1b85c1141e2,46407318
10,91,120880,120879,43,69,72,74,76,74.1,31.1,0xbc3f005735e,317413162
10,92,3133,3132,49,76,78,80,82,80.4,31.4,0x3b04cee458906,25475877602
10,93,1282,1281,70,78,81,82,84,82.7,12.7,0x70bc1459e439f4a78c,51026570783238724
10,94,918,917,49,79,82,84,85,84.2,35.2,0x249d4e37ee9fc,15804898836
10,95,422,421,77,82,84,86,88,86.3,9.3,0x204e7690f63a4cb0974c,3743420858515553156
10,96,240,239,76,83,86,88,89,88.1,12.1,0x1b33c4ef1498030c0dac,3151978151609215908
10,97,206,205,80,84,87,89,90,89.3,9.3,0x1161753c954bc1530a234,32222995823859623164
10,98,197,196,77,86,89,90,91,90.4,13.4,0x3ea2f98dde80fa4c8304,7257835277914161388
10,99,180,179,81,86,89,91,93,91.5,10.5,0x2431ae1c7db2d9db0057c,67102099819423601812
10,100,54,53,84,89,92,94,96,94.2,10.2,0x1f5266bc5f293be37dace4,929108811217211944844
10,101,71,70,87,90,93,95,96,94.9,7.9,0xaa78da19020b54dea26474,5056756140465087617468
10,102,81,80,89,91,94,95,96,95.7,6.7,0x32e0cbdee3a1bf68ab6a948,24147363247817352237464
10,103,51,50,83,92,95,97,98,97.3,14.3,0xfc079a424b4e78663f79c,467251270831572965876
10,104,41,40,52,94,97,98,99,98.6,46.6,0x1ae6c5df969fe6,185795287170
10,105,52,51,92,94,97,99,100,99.3,7.3,0x16645bce3319fb183b1a92f4,170040395953687277711676
10,106,28,27,95,98,99,101,101,101.2,6.2,0xd3065013a6b72d00056f6878,1602477457466357115868584
10,107,38,37,94,97,100,101,103,101.8,7.8,0x7b52c2d2b1b2bf5601ffa63e,936491428069004595812554
10,108,52,51,88,91,99,103,103,102.3,14.3,0x178bda0608a8175061e322c,11175355020879147103524
10,109,79,78,58,92,98,103,104,102.7,44.7,0x498df771b923d30,8128089198096
10,114,1,0,,,,,,,,,
10,115,1,0,,,,,,,,,
10,116,1,0,,,,,,,,,
10,117,1,0,,,,,,,,,
10,121,1,0,,,,,,,,,
10,148,1,0,,,,,,,,,
10,150,7,6,144,144,145,147,147,147.2,3.2,0x1d6aa1964c956a2da6b2b26990c600fc96462,1006027632052928094728337404322107097088.00
10,151,37,36,63,64,143,146,147,145.8,82.8,0x8923a7c26c34cd7a,242471511737502
10,153,1,0,,,,,,,,,
11,68,4,3,55,55,56,58,58,66.0,11.0,0xd408dfd7c63ac4,1464420379180
11,69,23,22,54,55,58,64,67,64.5,10.5,0x446891f16630de,472464101236.11
11,80,1,0,,,,,,,,,
11,81,1,0,,,,,,,,,
11,82,11,10,73,75,77,79,79,78.5,5.5,0x38d7ffd6c2006294320,411662691927339104
11,83,48,47,66,72,75,77,79,77.4,11.4,0x45b4fc3f08bfbd968,1971946247414008
11,84,206,205,58,66,74,76,78,76.3,18.3,0x55201929e4e492a,9406714452526
11,85,805,804,58,65,72,75,78,75.3,17.3,0x6a1b7334fa6d4c0,11725296687168
11,86,3054,3053,54,64,71,74,78,74.4,20.4,0x5c9ff4712e315c,639714638132
11,87,8130,8129,52,63,66,74,77,74.0,22.0,0x1154a29631e36a,119694071534
11,88,25268,25267,51,61,64,74,77,73.4,22.4,0xaaefab99becbe,73785833546
11,89,25107,25106,46,65,72,74,77,74.4,28.4,0x4a618454e23e,2006691018
11,90,47626,47625,49,63,72,74,77,74.5,25.5,0x3272d36fa4f28,21776471096
11,91,21226,21225,51,72,75,76,78,76.6,25.6,0xb4005a48edee8,77698876792
11,92,476,475,72,78,81,83,84,83.1,11.1,0x150cb52b2213c537d46,152441589428536738
11,93,211,210,77,81,83,85,86,85.3,8.3,0x2c12b0cc469970f38b74,5106831217633711804
11,94,139,138,77,82,85,87,88,86.9,9.9,0x2224fcc6d4145711e672,3956392042280658886
11,95,49,48,82,85,87,89,90,89.4,7.4,0x43dfb66b38903cc9faf00,125834993671582094592
11,96,30,29,85,86,89,91,91,91.1,6.1,0x2f85c00a6cf40587bb1378,1409670734639060942504
11,97,32,31,87,88,90,92,92,92.0,5.0,0xc82598c7cb33c7a476a05c,5937006742351828782644
11,98,24,23,87,89,91,93,94,93.4,6.4,0xa168d750c5a4eaef1a341c,4787931663412808493940
11,99,40,39,82,87,92,93,94,93.7,11.7,0x5a01bb9d054ff5c4d5ffc,166868339755058941972
11,100,10,9,92,92,95,97,97,96.7,4.7,0x1abfe91a38ae6a5d6ed86710,203131293877844175305904
11,101,12,11,91,91,95,97,97,97.4,6.4,0x82d3960630f3112d43f59fe,62091833968061621884426
11,102,6,5,93,93,97,100,100,99.4,6.4,0x2d2f9db7c810458dca4dbf34,343133106543749001827324
11,103,7,6,96,96,98,100,100,100.2,4.2,0x1d1bfa3747c019d9072af69f0,3536798093312881065176656
11,104,5,4,98,98,100,101,101,101.7,3.7,0x5693ba07d818940e049f91b26,10519171221193338601320514
11,105,4,3,97,97,101,102,102,103.0,6.0,0x2274e6944eba53702937b36ca,4186505551351500692485646
11,106,6,5,98,98,102,103,103,103.4,5.4,0x6b7fd64d6c8aa96e8bff64646,13061245646275689572751522
11,107,5,4,97,97,104,105,105,104.7,7.7,0x2fd35d5c12233abae1aae6e6a,5810848117004429212770286
11,108,5,4,98,98,100,106,106,105.7,7.7,0x49ee17bd06a9741c7b7ad6d24,8982551211236020196552268
11,109,7,6,99,99,105,106,106,106.2,7.2,0xcc3b7a10b36bfb905c9e3bfb8,24814366851163950894850408
11,150,1,0,,,,,,,,,
11,151,1,0,,,,,,,,,
12,59,1,0,,,,,,,,,
12,60,5,4,52,52,56,58,58,57.7,5.7,0x16d520ff34709a,157693220094
12,61,6,5,55,55,56,58,58,58.4,3.4,0xd35dd5de8a8dd6,1459805992614.11
12,62,16,15,52,54,56,58,58,58.0,6.0,0x1f39e3a98d1458,215663703667.89
12,63,16,15,55,55,57,58,59,59.0,4.0,0xda1ab0f05474f8,1506340134254.84
12,64,34,33,54,55,57,59,59,58.9,4.9,0x542283c2e31022,581078330251.89
12,65,41,40,50,55,57,59,60,59.6,9.6,0x683950a67ae86,44988983148.00
12,66,87,86,48,54,58,59,60,59.6,11.6,0x11a248488d394,7611805212
12,67,133,132,52,55,58,60,60,59.9,7.9,0x1202f26ed21a18,124396757340.11
12,68,242,241,51,55,58,60,62,60.1,9.1,0xc8a77510458da,86613784456.11
12,69,440,439,51,55,58,60,61,60.2,9.2,0x8278e175d474c,56319250264.11
12,70,776,775,49,56,58,60,62,60.4,11.4,0x3e85fb0dcb3fc,26988654568.11
12,71,764,763,53,57,60,61,63,61.4,8.4,0x217b29228ca0e8,231237660040.95
12,72,1205,1204,48,57,60,61,63,61.8,13.8,0x10f74d3b24fd2,7323504331.05
12,73,2262,2261,44,57,60,62,63,61.9,17.9,0x178564ba3e40,634564790.00
12,74,2664,2663,46,58,60,62,65,62.6,16.6,0x7e713bf60164,3411233036
12,75,1371,1370,51,59,62,64,67,64.6,13.6,0xb5d5ce5f155c2,78490450742
12,76,5380,5379,50,59,62,63,66,63.6,13.6,0x4bab61333742a,32663257902
12,77,375,374,51,59,62,63,72,68.4,17.4,0x89662fbda3160,59309328672
12,83,12,11,74,75,77,79,80,79.4,5.4,0x51c83833e9dbb84baa6,592266414803096258
12,84,43,42,60,68,76,78,80,78.6,18.6,0x199480fb9b62a370,45227333226192
12,85,163,162,60,64,74,78,80,77.7,17.7,0x1758cbec6b27a194,41278829029404
12,86,550,549,60,67,74,77,79,76.9,16.9,0x12ce3da6b305dffc,33249621495828
12,87,1444,1443,58,65,69,77,79,76.5,18.5,0x66d5d4880e08a28,11363732122936
12,88,4552,4551,53,64,67,76,79,75.8,22.8,0x3020e525839a4a,332400133262
12,89,4401,4400,55,68,75,77,79,76.9,21.9,0xe774a528648a14,1598551645596
12,90,8393,8392,52,65,75,77,79,77.0,25.0,0x1d00aff0a2343e,200307446474
12,91,3571,3570,66,74,77,79,81,79.2,13.2,0x4633e09eeecba8a6c,1985968359095268
12,92,94,93,77,81,83,85,86,85.4,8.4,0x3188a77dadb246b3d212,5739584930639056294
12,93,34,33,81,83,86,87,89,87.9,6.9,0x3c7a480556f3a8e89d6b8,112122755548588945000
12,94,18,17,85,85,88,90,90,89.8,4.8,0x296c5960dcf381bf431294,1228747955448252707612
12,95,14,13,88,88,89,91,91,91.2,3.2,0x110d29dcffb785ac680a412,8092809005572465947558
12,96,4,3,90,90,91,92,92,94.0,4.0,0x78148b4775df6006eeb901e,56991530827670319515498
12,97,5,4,92,92,93,93,93,94.7,2.7,0x10efd026fa026d1c34433f44,128614314789576998818732
12,98,4,3,92,92,93,94,94,96.0,4.0,0x1f1ed0a018dd472dc64e8a92,236321636229893048070950
12,99,3,2,93,93,97,97,97,97.4,4.4,0x367ba22f71588fdecfb69726,413732163040114478171202
12,100,2,1,97,97,97,97,97,99.0,2.0,0x2a3f58e684cbdedb1e7a89b88,5133093876953632534861400
12,101,1,0,,,,,,,,,
12,102,5,4,96,96,97,99,99,99.7,3.7,0x1b04fe70227a6c8a1e47c60fc,3282888487031746976828180
12,104,1,0,,,,,,,,,
12,105,2,1,103,103,103,103,103,104.0,1.0,0x90d782df7b7ced41b9b3218842,281574111026570502503546550
12,108,2,1,101,101,101,101,101,107.0,6.0,0x2d72a52f7c4f4bb9610249fb30,88351080880041706974599184
12,109,2,1,101,101,101,101,101,108.0,7.0,0x329a63ed13f70e0ca7ca4f164e,98372951060016994880317562
13,60,2,1,58,58,58,58,58,59.0,1.0,0x4a4837c46349088,8208485881714.95
13,61,1,0,,,,,,,,,
13,62,4,3,58,58,59,59,59,60.0,2.0,0x5e9e7721748a2b4,10455799704726.95
13,63,6,5,56,56,58,60,60,60.4,4.4,0x1e0c7c7b6d1e778,3320516486338.95
13,64,4,3,58,58,58,60,60,62.0,4.0,0x6313b1887af0982,10948418957871.16
13,65,13,12,53,58,59,61,61,61.3,8.3,0x231292e51f3792,242229083632.11
13,66,20,19,56,58,60,61,61,61.7,5.7,0x1591a9af94ed3f2,2383465093243.89
13,67,28,27,55,58,60,62,63,62.2,7.2,0xd9fa676e05e6f0,1505469073258.95
13,68,59,58,55,57,60,62,63,62.1,7.1,0xb5626e0ffbca94,1252734526774.95
13,69,79,78,55,58,61,62,64,62.7,7.7,0xd0a25fc8aa99d6,1440935527617.05
13,70,151,150,52,59,61,62,64,62.8,10.8,0x1482dd013608e2,141660784048.95
13,71,156,155,54,60,62,64,65,63.7,9.7,0x4f26c6d4ffbc8c,546660742953.05
13,72,276,275,50,59,62,64,65,63.9,13.9,0x7b32742a0e5be,53178899274
13,73,442,441,53,59,62,64,66,64.2,11.2,0x2a33db37a345a4,291472595906.00
13,74,537,536,53,60,63,65,67,64.9,11.9,0x2bbb62180e9672,302035430827.05
13,75,284,283,58,61,64,67,69,66.9,8.9,0x4764a3f8244bdc2,7889242056987.05
13,76,1080,1079,56,61,64,66,67,65.9,9.9,0x16bfa4c415987c0,2513817248602.95
13,77,71,70,60,62,64,71,73,70.9,10.9,0x16687d2d3e506df8,39619141201933.05
13,83,1,0,,,,,,,,,
13,84,8,7,78,78,79,81,81,81.0,3.0,0x4ec39e75cad39458ece8,9126564078362066808
13,85,25,24,67,74,78,79,82,80.4,13.4,0xe10ce1c30e9005de8,6366466774092408
13,86,109,108,63,69,77,79,81,79.2,16.2,0xfa761fa869b57b2c,442832716597284
13,87,273,272,58,67,71,79,81,78.9,20.9,0x63151d517dabc98,10949032358152
13,88,791,790,61,66,69,79,81,78.4,17.4,0x29b09c0321290c30,73710526038800
13,89,739,738,65,73,77,79,81,79.5,14.5,0x24e92effa14bcc712,1044174694794406
13,90,1435,1434,56,68,77,79,81,79.5,23.5,0x1fb6bf3be8a9a1a,3504514975102
13,91,608,607,69,77,80,81,83,81.8,12.8,0x36a4b66eb1f8e6c8f0,24732989217493840
13,92,10,9,84,84,87,88,88,88.7,4.7,0x1be7d778d7a332488f59dc,827771771432255286964
13,93,9,8,86,86,88,90,90,89.8,3.8,0x4dc15ff09a227cca01a988,2306477110033490989144
13,94,3,2,90,90,90,90,90,92.4,2.4,0x436a02afd1a14d8a340bb56,31995544232192198528850
13,95,1,0,,,,,,,,,
13,97,1,0,,,,,,,,,
14,62,1,0,,,,,,,,,
14,63,1,0,,,,,,,,,
14,64,3,2,57,57,62,62,62,62.4,5.4,0x333138523c20d5a,5656961562446.95
14,65,1,0,,,,,,,,,
14,66,4,3,61,61,62,63,63,64.0,3.0,0x31538517158e2660,87212142439402.11
14,67,7,6,60,60,62,64,64,64.2,4.2,0x19d06b85b66980e0,45641145089908.10
14,68,10,9,59,59,62,65,65,64.7,5.7,0x9ce87d9b6f710be,17339015107129.05
14,69,16,15,60,61,62,65,65,65.0,5.0,0x16ef2075fe383462,40549019247126
14,70,31,30,60,61,63,65,65,65.0,5.0,0x19310811a4619260,44540326258676.10
14,71,35,34,60,60,64,66,66,65.9,5.9,0x1119f6545aa56ab6,30236457249932.95
14,72,44,43,58,62,64,66,67,66.5,8.5,0x4154d2044e101ea,7219387845725.05
14,73,94,93,57,61,64,66,68,66.4,9.4,0x36f9660ca89322c,6074882762548.95
14,74,105,104,60,62,65,67,68,67.3,7.3,0x116ae20869f41436,30795337306866
14,75,51,50,54,64,67,69,70,69.3,15.3,0x6bed79991f0164,745403730188
14,76,204,203,59,63,66,68,69,68.3,9.3,0x9002bafe958f7f0,15913786796112
14,77,14,13,62,66,67,73,74,73.2,11.2,0x5bfcc58946e5b3d2,162639920131840.94
14,83,1,0,,,,,,,,,
14,84,1,0,,,,,,,,,
14,85,2,1,81,81,81,81,81,84.0,3.0,0x2c4ed39d55ae4b5582c4a,82144804700138547854
14,86,26,25,68,70,79,81,82,81.3,13.3,0x17ddce988f15eb1eb8,10802551676192360
14,87,46,45,67,71,80,81,83,81.5,14.5,0x9c4ed17e3cdc076da,4421806426977726
14,88,144,143,66,69,72,81,83,80.8,14.8,0x5c43c7b76b832cf20,2610085463094368
14,89,128,127,67,76,80,82,83,82.0,15.0,0xc3b78a3277008bc40,5536652762108608
14,90,254,253,66,70,80,82,83,82.0,16.0,0x6a84989e46c42bc2e,3013295044242202
14,91,98,97,72,80,83,84,85,84.4,12.4,0x12ca0b4b447a5cec754,136071728643713884
14,92,2,1,90,90,90,90,90,91.0,1.0,0x45baf08c7c1c49ea3608a04,33094807139560014159340
15,66,2,1,60,60,60,60,60,65.0,5.0,0x17b9d8efd443f08a,41949111965006
15,67,4,3,63,63,63,64,64,65.0,2.0,0x88aad408deac4114,241637018028700
15,68,2,1,64,64,64,64,64,67.0,3.0,0x184caa2b75723e2cc,687409724949976.12
15,69,6,5,62,62,65,66,66,66.4,4.4,0x56abe6164bfd964e,153241032798868.94
15,70,5,4,64,64,66,66,66,67.7,3.7,0x18fa2b0500855f776,706582574534268.12
15,71,11,10,64,64,66,67,67,67.5,3.5,0x13fe68ad3910fee34,565605800123149.00
15,72,9,8,65,65,67,68,68,68.8,3.8,0x32828e6e6e0d6aed2,1428881090933707.00
15,73,21,20,63,64,67,68,68,68.6,5.6,0xd5dbe18f25a6794e,378117005395817.06
15,74,17,16,63,66,68,70,70,69.9,6.9,0xe133166493d49626,398168040819010
15,75,12,11,66,67,69,71,71,71.4,5.4,0x67e61906f01b5aa04,2939202138884103.00
15,76,35,34,61,67,69,71,72,70.9,9.9,0x37ed8373b620770e,98884106847418
15,77,2,1,73,73,73,73,73,76.0,3.0,0x2f03b7789630d7b80a0,340479366655835360
15,85,1,0,,,,,,,,,
15,86,5,4,74,74,80,81,81,83.7,9.7,0x555484eabc73fe7abc8,617961377777075480
15,87,9,8,78,78,80,83,83,83.8,5.8,0x76d65fa7d0830db21744,13769935981288381356
15,88,20,19,72,73,82,84,84,83.7,11.7,0x1c2903fb5d2d619579c,203936426439735796
15,89,28,27,78,78,82,84,85,84.2,6.2,0x41ad75bfdc582d8aa51c,7610197346430449268
15,90,35,34,69,80,83,85,86,84.9,15.9,0x2aa630c74a6eef314e,19304098678137210
15,91,12,11,84,84,85,87,87,87.4,3.4,0x10f53b78b7aa844fe4d30c,503027602960278966468
15,92,2,1,89,89,89,89,89,91.0,2.0,0x30750f41d93f793e743c592,22998400261485472468006
16,70,1,0,,,,,,,,,
16,72,3,2,65,65,69,69,69,70.4,5.4,0x251efd043bf3aad4a,1050120347768735.00
16,73,6,5,65,65,66,71,71,70.4,5.4,0x2f847a26291b9061e,1344226100758361.00
16,74,4,3,67,67,69,70,70,72.0,5.0,0xd5c7149f4ee9aef7c,6047573539403897.00
16,75,4,3,71,71,71,73,73,73.0,2.0,0xaff72ab9e3e371dbc8,79646435160446232
16,76,3,2,71,71,74,74,74,74.4,3.4,0xf720e6d419f4e7ef46,111856621314392448.00
16,77,2,1,72,72,72,72,72,76.0,4.0,0x1038f66f44456e453d4,117483497241079004
16,86,1,0,,,,,,,,,
16,88,7,6,81,81,83,85,85,85.2,4.2,0x27853daae1bd51d00cc0a,73269106968334732238
16,89,3,2,84,84,86,86,86,87.4,3.4,0x1de5810ce40b7c74615b68,886827413869879908088
16,90,9,8,82,82,85,87,87,86.8,4.8,0x5117ea7c929d8573efad0,150343410827527936496
16,91,1,0,,,,,,,,,
17,88,1,0,,,,,,,,,
